"Add Client","Client hinzufügen"
"Add Zed Business Test Suite Configuration","Zed Business Testsuite Configuration hinzufügen"
"Add Zed Communication Console","Zed Communication Console hinzufügen"
"Add Zed Communication Controller","Zed Communication Controller hinzufügen"
"Add Zed Communication Controller Action","Zed Communication Controller-Aktion hinzufügen"
"Add Zed Communication Factory","Zed Communication Factory hinzufügen"
"Add Zed Config","Zed Config hinzufügen"
"Add Zed Config Method","Zed Config-Methode hinzufügen"
"Add Zed Dependency Client Bridge","Zed Dependency Client Bridge hinzufügen"
"Add Zed Dependency Client Bridge Interface Method","Zed Dependency Client Bridge Interface-Methode hinzufügen"
"Add Zed Dependency Client Bridge Method","Zed Dependency Client Bridge-Methode hinzufügen"
"Add Zed Dependency Client Business Factory Method","Zed Dependency Client Business Factory-Methode hinzufügen"
"Add Zed Dependency Client Dependency Provider Constant","Zed Dependency Client Dependency Provider-Konstante hinzufügen"
"Add Zed Dependency Client Dependency Provider Method","Zed Dependency Client Dependency Provider-Methode hinzufügen"
"Add Zed Dependency Client Interface","Zed Dependency Client Interface hinzufügen"
"Add Zed Dependency Facade Bridge","Zed Dependency Facade Bridge hinzufügen"
"Add Zed Dependency Facade Bridge Interface Method","Zed Dependency Facade Bridge Interface-Methode hinzufügen"
"Add Zed Dependency Facade Bridge Method","Zed Dependency Facade Bridge-Methode hinzufügen"
"Add Zed Dependency Facade Business Factory Method","Zed Dependency Facade Business Factory-Methode hinzufügen"
"Add Zed Dependency Facade Dependency Provider Constant","Zed Dependency Facade Dependency Provider-Konstante hinzufügen"
"Add Zed Dependency Facade Dependency Provider Method","Zed Dependency Facade Dependency Provider-Methode hinzufügen"
"Add Zed Dependency Facade Interface","Zed Dependency Facade Interface hinzufügen"
"Add Zed Dependency Provider","Zed Dependency Provider hinzufügen"
"Add Zed Dependency Service Bridge","Zed Dependency Service Bridge hinzufügen"
"Add Zed Dependency Service Bridge Interface Method","Zed Dependency Service Bridge Interface-Methode hinzufügen"
"Add Zed Dependency Service Bridge Method","Zed Dependency Service Bridge-Methode hinzufügen"
"Add Zed Dependency Service Business Factory Method","Zed Dependency Service Business Factory-Methode hinzufügen"
"Add Zed Dependency Service Dependency Provider Constant","Zed Dependency Service Dependency Provider-Konstante hinzufügen"
"Add Zed Dependency Service Dependency Provider Method","Zed Dependency Service Dependency Provider-Methode hinzufügen"
"Add Zed Dependency Service Interface","Zed Dependency Service Interface hinzufügen"
"Add Zed Navigation Node","Zed Navigationsknoten hinzufügen"
"Add Zed Navigation Schema","Zed Navigationsschema hinzufügen"
"Add Zed Persistence Entity Manager","Zed Persistence Entity Manager hinzufügen"
"Add Zed Persistence Entity Manager Interface","Zed Persistence Entity Manager Interface hinzufügen"
"Add Zed Persistence Entity Manager Interface Method","Zed Persistence Entity Manager Interface-Methode hinzufügen"
"Add Zed Persistence Entity Manager Method","Zed Persistence Entity Manager-Methode hinzufügen"
"Add Zed Persistence Factory","Zed Persistence Factory hinzufügen"
"Add Zed Persistence Propel Abstract Entity","Zed Persistence Propel Abstract Entity hinzufügen"
"Add Zed Persistence Propel Abstract Query","Zed Persistence Propel Abstract Query hinzufügen"
"Add Zed Persistence Propel Schema","Zed Persistence Propel Schema hinzufügen"
"Add Zed Persistence Propel Schema Table","Zed Persistence Propel Schema Table hinzufügen"
"Add Zed Persistence Repository","Zed Persistence Repository hinzufügen"
"Add Zed Persistence Repository Interface","Zed Persistence Repository Interface hinzufügen"
"Add Zed Persistence Repository Interface Method","Zed Persistence Repository Interface-Methode hinzufügen"
"Add Zed Persistence Repository Method","Zed Persistence Repository-Methode hinzufügen"
"Add Zed Presentation Twig","Zed Presentation Twig hinzufügen"
"Add Zed Test Codeception Configuration","Zed Test Codeception Configuration hinzufügen"
"Add Zed Test Suite To Codeception Configuration","Zed Testsuite To Codeception Configuration hinzufügen"
"Adds a Client dependency constant to the *module*DependencyProvider.","Fügt eine Client Dependency-Konstante zum *Modul*DependencyProvider hinzu."
"Adds a Client dependency constant to the *module*DependencyProvider.","Fügt eine Client Dependency-Konstante zum *Modul*DependencyProvider hinzu."
"Adds a Client dependency method to the *module*BusinessFactory.","Fügt eine Client Dependency-Methode zum *Modul*BusinessFactory hinzu."
"Adds a Client dependency method to the *module*DependencyProvider.","Fügt eine Client Dependency-Methode zum *Modul*DependencyProvider hinzu."
"Adds a Client dependency method to the *module*DependencyProvider.","Fügt eine Client Dependency-Methode zum *Modul*DependencyProvider hinzu."
"Adds a Client dependency method to the *module*Factory.","Fügt eine Client Dependency-Methode zum *Modul*Factory hinzu."
"Adds a facade dependency constant to the *module*DependencyProvider.","Fügt eine Facade Dependency-Konstante zum *Modul*DependencyProvider hinzu."
"Adds a facade dependency method to the *module*BusinessFactory.","Fügt eine Facade Dependency-Methode zum *Modul*BusinessFactory hinzu."
"Adds a facade dependency method to the *module*DependencyProvider.","Fügt eine Facade Dependency-Methode zum *Modul*DependencyProvider hinzu."
"Adds a method to the *module*BusinessFactory.","Fügt eine Methode zum *Modul*BusinessFactory hinzu."
"Adds a new .coveralls.yml to the Modules root.","Fügt eine neue .coveralls.yml zur Modulwurzel hinzu."
"Adds a new .gitattributes to the Modules root.","Fügt eine neue .gitattributes zur Modulwurzel hinzu."
"Adds a new .gitignore to the Modules root.","Fügt eine neue .gitignore zur Modulwurzel hinzu."
"Adds a new .scrutinizer.yml to the Modules root.","Fügt eine neue .scrutinizer.yml zur Modulwurzel hinzu."
"Adds a new .travis.yml to the Modules root.","Fügt eine neue .travis.yml zur Modulwurzel hinzu."
"Adds a new *module* Business test suite directory.","Fügt ein neues *Modul* Business Testsuite-Verzeichnis hinzu."
"Adds a new *module*.transfer.xml to the Shared application.","Fügt eine neue *Modul*.transfer.xml zur Gemeinsamen Anwendung hinzu."
"Adds a new *module*BusinessFactory to the Zed application.","Fügt eine neue *Modul*BusinessFactory zur Zed-Anwendung hinzu."
"Adds a new *Module*Client to the Client application.","Fügt einen neuen *Modul*Client zur Client-Anwendung hinzu."
"Adds a new *Module*ClientDependencyProvider to the Client application.","Fügt einen neuen *Modul*ClientDependencyProvider zur Client-Anwendung hinzu."
"Adds a new *Module*ClientFactory to the Client application.","Fügt eine neue *Modul*ClientFactory zur Client-Anwendung hinzu."
"Adds a new *Module*ClientInterface to the Client application.","Fügt ein neues *Modul*ClientInterface zur Client-Anwendung hinzu."
"Adds a new *module*CommunicationFactory to the Zed application.","Fügt eine neue *Modul*CommunicationFactory zur Zed-Anwendung hinzu."
"Adds a new *module*Config to the Client application.","Fügt eine neue *Modul*Config zur Client-Anwendung hinzu."
"Adds a new *module*Config to the Yves application.","Fügt eine neue *Modul*Config zur Yves-Anwendung hinzu."
"Adds a new *module*Config to the Zed application.","Fügt eine neue *Modul*Config zur Zed-Anwendung hinzu."
"Adds a new *module*ConstantsInterface to the Shared application.","Fügt ein neues *Modul*ConstantsInterface zur Gemeinsamen Anwendung hinzu."
"Adds a new *module*DependencyProvider to the Yves application.","Fügt einen neuen *Modul*DependencyProvider zur Yves-Anwendung hinzu."
"Adds a new *module*DependencyProvider to the Zed application.","Fügt einen neuen *Modul*DependencyProvider zur Zed-Anwendung hinzu."
"Adds a new *module*EntityManager to the Zed application.","Fügt einen neuen *Modul*EntityManager zur Zed-Anwendung hinzu."
"Adds a new *module*EntityManagerInterface to the Zed application.","Fügt ein neues *Modul*EntityManagerInterface zur Zed-Anwendung hinzu."
"Adds a new *module*Facade to the Zed application.","Fügt eine neue *Modul*Facade zur Zed-Anwendung hinzu."
"Adds a new *module*FacadeInterface to the Zed application.","Fügt ein neues *Modul*FacadeInterface zur Zed-Anwendung hinzu."
"Adds a new *module*FacadeTest.","Fügt einen neuen *Modul*FacadeTest hinzu."
"Adds a new *module*Factory to the Yves application.","Fügt eine neue *Modul*Factory zur Yves-Anwendung hinzu."
"Adds a new *module*PersistenceFactory to the Zed application.","Fügt eine neue *Modul*PersistenceFactory zur Zed-Anwendung hinzu."
"Adds a new *module*Repository to the Zed application.","Fügt ein neues *Modul*Repository zur Zed-Anwendung hinzu."
"Adds a new *module*RepositoryInterface to the Zed application.","Fügt ein neues *Modul*RepositoryInterface zur Zed-Anwendung hinzu."
"Adds a new *module*To*dependentModule*ClientBridge.","Fügt ein neues *Modul*zu*dependentModul*ClientBridge hinzu."
"Adds a new *module*To*dependentModule*ClientBridge.","Fügt ein neues *Modul*zu*dependentModul*ClientBridge hinzu."
"Adds a new *module*To*dependentModule*ClientInterface.","Fügt ein neues *Modul*zu*dependentModul*ClientInterface hinzu."
"Adds a new *module*To*dependentModule*ClientInterface.","Fügt ein neues *Modul*zu*dependentModul*ClientInterface hinzu."
"Adds a new *module*To*dependentModule*FacadeBridge.","Fügt ein neues *Modul*zu*dependentModul*FacadeBridge hinzu."
"Adds a new *module*To*dependentModule*FacadeInterface.","Fügt ein neues *Modul*zu*dependentModul*FacadeInterface hinzu."
"Adds a new *module*To*dependentModule*ServiceBridge.","Fügt ein neues *Modul*zu*dependentModul*ServiceBridge hinzu."
"Adds a new *module*To*dependentModule*ServiceBridge.","Fügt ein neues *Modul*zu*dependentModul*ServiceBridge hinzu."
"Adds a new *module*To*dependentModule*ServiceInterface.","Fügt ein neues *Modul*zu*dependentModul*ServiceInterface hinzu."
"Adds a new *module*To*dependentModule*ServiceInterface.","Fügt ein neues *Modul*zu*dependentModul*ServiceInterface hinzu."
"Adds a new Abstract*tableName* class to Zed's persistence layer.","Fügt eine neue Übersicht*tableName* Klasse zum Persistence Layer von Zed hinzu."
"Adds a new Abstract*tableName*Query class to Zed's persistence layer.","Fügt eine neue Übersicht*tableName*Query Klasse zum Persistence Layer von Zed hinzu."
"Adds a new action to the Zed controller.","Fügt eine neue Aktion zum Zed Controller hinzu."
"Adds a new Business model interface to the Zed application.","Fügt ein neues Geschäftsmodell-Interface zur Zed-Anwendung hinzu."
"Adds a new Business model to the Zed application.","Fügt ein neues Geschäftsmodell zur Zed-Anwendung hinzu."
"Adds a new CHANGELOG.md to the Modules root.","Fügt eine neue CHANGELOG.md zur Modulwurzel hinzu."
"Adds a new codeception.yml to the Modules root.","Fügt eine neue codeception.yml zur Modulwurzel hinzu."
"Adds a new composer.json to the Modules root.","Fügt eine neue composer.json zur Modulwurzel hinzu."
"Adds a new Console command to the Zed application.","Fügt einen neuen Konsolenbefehl zur Zed-Anwendung hinzu."
"Adds a new CONTRIBUTING.md to the Modules root.","Fügt eine neue CONTRIBUTING.md zur Modulwurzel hinzu."
"Adds a new Controller to the Zed application.","Fügt einen neuen Controller zur Zed-Anwendung hinzu."
"Adds a new Interface method to the *Module*ClientInterface.","Fügt eine neue Interface-Methode zur *Modul*ClientInterface hinzu."
"Adds a new LICENSE to the Modules root.","Fügt eine neue LICENSE zur Modulwurzel hinzu."
"Adds a new method to the *module* dependency Client bridge.","Fügt eine neue Methode zur *Modul* Dependency Client Bridge hinzu."
"Adds a new method to the *module* dependency Client bridge.","Fügt eine neue Methode zur *Modul* Dependency Client Bridge hinzu."
"Adds a new method to the *module* dependency Client bridge.","Fügt eine neue Methode zur *Modul* Dependency Client Bridge hinzu."
"Adds a new method to the *module* dependency Client bridge.","Fügt eine neue Methode zur *Modul* Dependency Client Bridge hinzu."
"Adds a new method to the *module* dependency facade bridge interface.","Fügt eine neue Methode zum *Modul* Dependency Facade Bridge Interface hinzu."
"Adds a new method to the *module* dependency facade bridge.","Fügt eine neue Methode zur *Modul* Dependency Facade Bridge hinzu."
"Adds a new method to the *module* dependency Service bridge interface.","Fügt eine neue Methode zum *Modul* Dependency Service Bridge Interface hinzu."
"Adds a new method to the *module* dependency Service bridge interface.","Fügt eine neue Methode zum *Modul* Dependency Service Bridge Interface hinzu."
"Adds a new method to the *module* dependency Service bridge.","Fügt eine neue Methode zur *Modul* Dependency Service Bridge hinzu."
"Adds a new method to the *module* dependency Service bridge.","Fügt eine neue Methode zur *Modul* Dependency Service Bridge hinzu."
"Adds a new method to the *Module*Client.","Fügt eine neue Methode zum *Modul*Client hinzu."
"Adds a new method to the *module*EntityManager.","Fügt eine neue Methode zum *Modul*EntityManager hinzu."
"Adds a new method to the *module*EntityManagerInterface.","Fügt eine neue Methode zum *Modul*EntityManagerInterface hinzu."
"Adds a new method to the *module*Facade.","Fügt eine neue Methode zur *Modul*Facade hinzu."
"Adds a new method to the *module*FacadeInterface.","Fügt eine neue Methode zum *Modul*FacadeInterface hinzu."
"Adds a new method to the *module*Repository.","Fügt eine neue Methode zum *Modul*Repository hinzu."
"Adds a new method to the *module*RepositoryInterface.","Fügt eine neue Methode zum *Modul*RepositoryInterface hinzu."
"Adds a new method to the *target* business model interface.","Fügt eine neue Methode zum *Ziel* Geschäftsmodell-Interface hinzu."
"Adds a new method to the *target* business model.","Fügt eine neue Methode zum *Ziel* Geschäftsmodell hinzu."
"Adds a new method to the Client *module*Config.","Fügt eine neue Methode zur Client *Modul*Config hinzu."
"Adds a new method to the Yves *module*Config.","Fügt eine neue Methode zur Yves *Modul*Config hinzu."
"Adds a new method to the Zed *module*Config.","Fügt eine neue Methode zur Zed *Modul*Config hinzu."
"Adds a new navigation node entry tho the *module* navigation.xml.","Fügt einen neuen Navigationsknoten-Eintrag zur *Modul* navigation.xml hinzu."
"Adds a new navigation.xml to the Zed application.","Fügt eine neue navigation.xml zur Zed-Anwendung hinzu."
"Adds a new phpstan.json to the Modules root.","Fügt eine neue phpstan.json zur Modules Root hinzu."
"Adds a new phpstan.neon to the Modules root.","Fügt eine neue phpstan.neon zur Modules Root hinzu."
"Adds a new README.md to the Modules root.","Fügt eine neue README.md zur Modules Root hinzu."
"Adds a new spy_*targetModule*.schema.xml to the Zed application.","Fügt eine neue spy_*ZielModul*.schema.xml zur Zed-Anwendung hinzu."
"Adds a new table to the spy_*targetModule*.schema.xml.","Fügt eine neue Tabelle zur spy_*ZielModul*.schema.xml hinzu."
"Adds a new test method to the *module*FacadeTest.","Fügt eine neue Testmethode zum *Modul*FacadeTest hinzu."
"Adds a new twig file to the *module* Presentation layer.","Fügt eine neue Twig-Datei zur *Modul* Darstellungsschicht hinzu."
"Adds a Service dependency constant to the *module*DependencyProvider.","Fügt eine Service Dependency-Konstante zum *Modul*DependencyProvider hinzu."
"Adds a Service dependency constant to the *module*DependencyProvider.","Fügt eine Service Dependency-Konstante zum *Modul*DependencyProvider hinzu."
"Adds a Service dependency method to the *module*BusinessFactory.","Fügt eine Service Dependency-Methode zur *Modul*BusinessFactory hinzu."
"Adds a Service dependency method to the *module*DependencyProvider.","Fügt eine Service Dependency-Methode zum *Modul*DependencyProvider hinzu."
"Adds a Service dependency method to the *module*DependencyProvider.","Fügt eine Service Dependency-Methode zum *Modul*DependencyProvider hinzu."
"Adds a Service dependency method to the *module*Factory.","Fügt eine Service Dependency-Methode zur *Modul*Factory hinzu."
"Adds the include for the Zed test suite to the codeception.yml.","Fügt den Include für die Zed-Testsuite zur codeception.yml hinzu."
"Build Spryk","Spryk erstellen"
Client,Client
Common,Allgemein
"Create Spryker Module","Spryker Modul erstellen"
"Create Template","Vorlage erstellen"
"Creates a new *module* structure.","Erstellt eine neue *Modul* Struktur."
"Run Spryk","Spryk ausführen"
Shared,Geteilt
"Show graph","Graph anzeigen"
Spryk,Spryk
"Spryk ""%s"" executed successfully.","Spryk ""%s"" erfolgreich ausgeführt."
SprykGui,SprykGui
"Updates the *module* test configuration and adds the suite configuration for Business tests.","Aktualisiert die *Modul"" Testkonfiguration und fügt die Suitekonfiguration für Businesstests hinzu."
Yves,Yves
